TIME ms, IN1, IN2
-537.109, 0.013062, 2.092285
-585.938, 0.012817, 3.287354
-634.766, 0.013184, 4.163818
-683.594, 0.012939, 4.649658
-732.422, 0.012573, 4.688721
-781.25, 0.012573, 4.283447
-830.078, 0.012695, 3.469238
-878.906, 0.012939, 2.325439
-927.734, 0.012573, 0.955811
-976.563, 0.012695, -0.26123
-1.025, 0.012695, -1.694336
-1.074, 0.012695, -2.972412
-1.123, 0.012817, -3.968506
-1.172, 0.012695, -4.593506
-1.221, 0.012939, -4.786377
-1.27, 0.012817, -4.527588
-1.318, 0.013062, -3.845215
-1.367, 0.012451, -2.800293
-1.416, 0.012939, -1.496582
-1.465, 0.012939, -0.05127
-1.514, 0.012695, 1.396484
-1.563, 0.012573, 2.70874
-1.611, 0.012817, 3.762207
-1.66, 0.012939, 4.454346
-1.709, 0.012573, 4.726562
-1.758, 0.012329, 4.547119
-1.807, 0.012695, 3.933105
-1.855, 0.012451, 2.946777
-1.904, 0.012573, 1.676025
-1.953, 0.012695, 0.245361
-2.002, 0.012573, -1.212158
-2.051, 0.012573, -2.556152
-2.1, 0.012451, -3.664551
-2.148, 0.012573, -4.425049
-2.197, 0.012817, -4.742432
-2.246, 0.012695, -4.716797
-2.295, 0.012695, -4.244385
-2.344, 0.012573, -3.376465
-2.393, 0.012695, -2.188721
-2.441, 0.012207, -0.79834
-2.49, 0.012695, 0.664062
-2.539, 0.013062, 2.061768
-2.588, 0.012695, 3.261719
-2.637, 0.012695, 4.14917
-2.686, 0.012451, 4.642334
-2.734, 0.012817, 4.693604
-2.783, 0.012817, 4.295654
-2.832, 0.012695, 3.492432
-2.881, 0.012329, 2.355957
-2.93, 0.012451, 0.98999
-2.979, 0.012817, -0.472412
-3.027, 0.012573, -1.889648
-3.076, 0.012573, -3.134766
-3.125, 0.012695, -4.080811
-3.174, 0.012451, -4.647217
-3.223, 0.012695, -4.776611
-3.271, 0.012939, -4.456787
-3.32, 0.012939, -3.717041
