TIME ms, IN1, IN2
-13.379, 0.012085, -2.088623
-13.428, 0.012939, -3.295898
-13.477, 0.012329, -4.190674
-13.525, 0.012451, -4.694824
-13.574, 0.012451, -4.754639
-13.623, 0.012451, -4.372559
-13.672, 0.012573, -3.575439
-13.721, 0.012817, -2.446289
-13.77, 0.012695, -1.085205
-13.818, 0.012207, 0.374756
-13.867, 0.012695, 1.795654
-13.916, 0.012573, 3.045654
-13.965, 0.012817, 4.000244
-14.014, 0.012451, 4.578857
-14.063, 0.012451, 4.718018
-14.111, 0.012329, 4.40918
-14.16, 0.012329, 3.681641
-14.209, 0.012573, 2.598877
-14.258, 0.012695, 1.269531
-14.307, 0.012329, -0.181885
-14.355, 0.012817, -1.622314
-14.404, 0.012817, -2.912598
-14.453, 0.012695, -3.924561
-14.502, 0.012573, -4.570312
-14.551, 0.012207, -4.783936
-14.6, 0.012695, -4.624023
-14.648, 0.011963, -4.031982
-14.697, 0.012695, -3.060303
-14.746, 0.012695, -1.802979
-14.795, 0.012207, -0.374756
-14.844, 0.012695, 1.081543
-14.893, 0.012573, 2.434082
-14.941, 0.012573, 3.554688
-14.99, 0.012817, 4.334717
-15.039, 0.012329, 4.70459
-15.088, 0.012695, 4.622803
-15.137, 0.012817, 4.101562
-15.186, 0.012817, 3.189697
-15.234, 0.012085, 1.975098
-15.283, 0.012695, 0.568848
-15.332, 0.012573, -0.893555
-15.381, 0.012573, -2.275391
-15.43, 0.012451, -3.443604
-15.479, 0.012695, -4.291992
-15.527, 0.012573, -4.733887
-15.576, 0.012695, -4.730225
-15.625, 0.012573, -4.283447
-15.674, 0.013062, -3.435059
-15.723, 0.012817, -2.260742
-15.771, 0.012695, -1.119385
-15.82, 0.012939, 0.340576
-15.869, 0.012451, 1.766357
-15.918, 0.012817, 3.017578
-15.967, 0.012817, 3.984375
-16.016, 0.012817, 4.570312
-16.064, 0.012939, 4.720459
-16.113, 0.012817, 4.421387
-16.162, 0.012817, 3.701172
-16.211, 0.012939, 2.628174
-16.26, 0.012817, 1.30249
-16.309, 0.012695, -0.146484
-16.357, 0.012573, -1.588135
-16.406, 0.012817, -2.883301
