Model,DPO4054B
Firmware Version,3.22

Waveform Type,ANALOG
Point Format,Y
Horizontal Units,s
Horizontal Scale,0.01
Horizontal Delay,0.00088
Sample Interval,1e-05
Record Length,10000
Gating,0.0% to 100.0%
Probe Attenuation,1
Vertical Units,V
Vertical Offset,0
Vertical Scale,0.5
Vertical Position,0
,
,
,
Label,
TIME,CH1
-3.955e-02,0.48
-3.954e-02,0.5
-3.953e-02,0.5
-3.952e-02,0.48
-3.951e-02,0.48
-3.950e-02,0.5
-3.949e-02,0.5
-3.948e-02,0.5
-3.947e-02,0.5
-3.946e-02,0.48
-3.945e-02,0.5
-3.944e-02,0.48
-3.943e-02,0.5
-3.942e-02,0.46
-3.941e-02,0.48
-3.940e-02,0.5
-3.939e-02,0.48
-3.938e-02,0.46
-3.937e-02,0.48
-3.936e-02,0.5
-3.935e-02,0.5
-3.934e-02,0.5
-3.933e-02,0.48
-3.932e-02,0.48
-3.931e-02,0.5
-3.930e-02,0.46
-3.929e-02,0.5
-3.928e-02,0.48
-3.927e-02,0.48
-3.926e-02,0.48
-3.925e-02,0.48
-3.924e-02,0.48
-3.923e-02,0.5
-3.922e-02,0.5
-3.921e-02,0.48
-3.920e-02,0.46
-3.919e-02,0.48
-3.918e-02,0.48
-3.917e-02,0.48
-3.916e-02,0.48
-3.915e-02,0.48
-3.914e-02,0.48
-3.913e-02,0.48
-3.912e-02,0.48
-3.911e-02,0.5
-3.910e-02,0.5
-3.909e-02,0.48
-3.908e-02,0.48
-3.907e-02,0.5
-3.906e-02,0.48
-3.905e-02,0.48
-3.904e-02,0.48
-3.903e-02,0.48
-3.902e-02,0.48
-3.901e-02,0.5
-3.900e-02,0.46
-3.899e-02,0.48
-3.898e-02,0.46
-3.897e-02,0.5
-3.896e-02,0.48
-3.895e-02,0.46
-3.894e-02,0.5
-3.893e-02,0.46
-3.892e-02,0.5
-3.891e-02,0.48
-3.890e-02,0.5
-3.889e-02,0.48
-3.888e-02,0.48
-3.887e-02,0.46
-3.886e-02,0.48
-3.885e-02,0.5
-3.884e-02,0.48
-3.883e-02,0.46
-3.882e-02,0.5
-3.881e-02,0.48
-3.880e-02,0.48
-3.879e-02,0.5
-3.878e-02,0.5
-3.877e-02,0.5
-3.876e-02,0.5
-3.875e-02,0.5
-3.874e-02,0.48
-3.873e-02,0.5
-3.872e-02,0.48
-3.871e-02,0.5
-3.870e-02,0.5
-3.869e-02,0.46
-3.868e-02,0.48
-3.867e-02,0.5
-3.866e-02,0.48
-3.865e-02,0.48
-3.864e-02,0.5
-3.863e-02,0.46
-3.862e-02,0.5
-3.861e-02,0.48
-3.860e-02,0.5
